accuracy,encoding,f1_score_macro,f1_score_weighted,model_name,precision_macro,precision_weighted,recall_macro,recall_weighted
0.8626534190531853,PS_One Hot + FFT,0.8798490443947908,0.8810241130800156,XGBoost,0.9349971349930852,0.9349035738678952,0.8607809519229228,0.8626534190531853
0.9870251315020456,AS_One Hot + Wavelet,0.9861219976874972,0.9868061256004402,XGBoost,0.9876853099720878,0.9876110907876882,0.9857452027124513,0.9870251315020456
0.3099941554646405,PS_K-mers,0.3369240903976655,0.3397879024800511,XGBoost,0.6363978888975482,0.6387980651504568,0.3065514302356028,0.3099941554646405
0.2662770309760374,PS_One Hot,0.2863142166894584,0.2882138540094119,XGBoost,0.6086236793884752,0.6075399499180946,0.2635182246161903,0.2662770309760374
0.9943892460549386,AS_One Hot,0.9943772943674408,0.9943874138753264,XGBoost,0.9944555636307773,0.9944516710449556,0.9943654114365412,0.9943892460549386
0.994155464640561,AS_K-mers,0.9940914362315236,0.9941564281331676,XGBoost,0.9941108927236296,0.9942198146112358,0.99413552637907,0.994155464640561
0.9918176504967856,AS_One Hot + FFT,0.9918784257046632,0.9918158280413472,XGBoost,0.992062964099891,0.9919586513436964,0.9918366758043572,0.9918176504967856
0.435885447106955,PS_K-mers + Wavelet,0.4606331297420787,0.4633705046382067,XGBoost,0.7337283722358429,0.7320932236244306,0.431685529852461,0.435885447106955
0.9870251315020456,AS_K-mers + FFT,0.9871357256348724,0.9870005349312616,XGBoost,0.9879014221498909,0.9877416095240495,0.9871240321261964,0.9870251315020456
0.413676212741087,PS_Wavelet,0.4305550453771164,0.4263849079735565,XGBoost,0.6893730272070419,0.684624795183813,0.4169537290861775,0.413676212741087
0.9904149620105202,AS_FFT,0.9905181264814956,0.99041758834851,XGBoost,0.990848988263348,0.9906938863695064,0.9904573654595296,0.9904149620105202
0.2821741671537113,PS_One Hot + Wavelet,0.3076275046200528,0.3099245370835324,XGBoost,0.60982984727417,0.6101477251820383,0.2791504085242362,0.2821741671537113
0.993103448275862,AS_Wavelet,0.9930927899484652,0.9931034734425636,XGBoost,0.9931851005959524,0.9931752683940994,0.993071706824412,0.993103448275862
